cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,COMUNA,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_planillas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Lista,4.4.4,Es Ahora Buenos Aires,4618
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Lista,5.5.5,Evolución,420
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Lista,6.6.6,Frente de Izquierda y de Trabajadores - Unidad,538
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Lista,7.7.7,Principios y Valores,348
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Lista,8.8.8,Unión Porteña Libertaria,126
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Lista,9.9.9,Movimiento Plural,36
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Blanco,BLC,Voto en BLANCO,365
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Especial,IMP,Votos DE IDENTIDAD IMPUGNADA,1
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Especial,NUL,Votos NULOS,24
DIP,CABA.1.2,Localidad,San Nicolas,Comuna 01,19434,25,39.9979,100,19459,2025-05-18 19:30:01,Especial,REC,Votos RECURRIDOS,0
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,1.1.1,Confluencia - Por la Igualdad y la Soberanía,18
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,10.10.10,Coalición Cívica - Afirmación para una República Igualitaria,79
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,11.11.11,El Movimiento,4
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,12.12.12,Frente Patriota Federal,4
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,13.13.13,La Izquierda en la Ciudad,4
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,14.14.14,La Libertad Avanza,1727
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,15.15.15,Seamos Libres,5
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,16.16.16,Unión del Centro Democrático,110
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,17.17.17,Movimiento de Integración y Desarrollo,25
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,2.2.2,Buenos Aires Primero,768
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,3.3.3,Volvamos Buenos Aires,216
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,4.4.4,Es Ahora Buenos Aires,368
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,5.5.5,Evolución,56
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,6.6.6,Frente de Izquierda y de Trabajadores - Unidad,25
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,7.7.7,Principios y Valores,27
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,8.8.8,Unión Porteña Libertaria,19
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Lista,9.9.9,Movimiento Plural,3
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Blanco,BLC,Voto en BLANCO,30
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Especial,IMP,Votos DE IDENTIDAD IMPUGNADA,0
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Especial,NUL,Votos NULOS,3
DIP,CABA.1.3,Localidad,Puerto Madero,Comuna 01,3488,3,45.3376,100,3491,2025-05-18 19:50:01,Especial,REC,Votos RECURRIDOS,0
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,1.1.1,Confluencia - Por la Igualdad y la Soberanía,123
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,10.10.10,Coalición Cívica - Afirmación para una República Igualitaria,251
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,11.11.11,El Movimiento,22
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,12.12.12,Frente Patriota Federal,22
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,13.13.13,La Izquierda en la Ciudad,60
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,14.14.14,La Libertad Avanza,2866
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,15.15.15,Seamos Libres,102
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,16.16.16,Unión del Centro Democrático,288
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,17.17.17,Movimiento de Integración y Desarrollo,198
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,2.2.2,Buenos Aires Primero,1463
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,3.3.3,Volvamos Buenos Aires,915
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,4.4.4,Es Ahora Buenos Aires,4187
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,5.5.5,Evolución,216
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,6.6.6,Frente de Izquierda y de Trabajadores - Unidad,581
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,7.7.7,Principios y Valores,255
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,8.8.8,Unión Porteña Libertaria,71
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Lista,9.9.9,Movimiento Plural,13
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Blanco,BLC,Voto en BLANCO,222
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Especial,IMP,Votos DE IDENTIDAD IMPUGNADA,2
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Especial,NUL,Votos NULOS,14
DIP,CABA.1.4,Localidad,San Telmo,Comuna 01,11855,18,47.115,100,11873,2025-05-18 20:25:01,Especial,REC,Votos RECURRIDOS,2
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,1.1.1,Confluencia - Por la Igualdad y la Soberanía,83
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,10.10.10,Coalición Cívica - Afirmación para una República Igualitaria,410
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,11.11.11,El Movimiento,45
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,12.12.12,Frente Patriota Federal,49
